Feature,Score
SHFM1,0.05780906046377421
KRT10,0.05756883137609736
S100P,0.0575377916501969
CD247,0.057514149092229294
TYROBP,0.057317071486392424
YEATS4,0.05685627530283077
ROBO3,0.056204507430590356
CXorf57,0.05591064235330223
IGHM,0.05585604140470979
BBX,0.055451759321506255
CLDN10,0.055440676812873235
CDA,0.05534535861551526
TMEM135///DNAJB6,0.05510209782534026
PRSS8,0.054062301613478914
AASS,0.053962338496654993
TRAT1,0.053088691144678846
ZBTB7A,0.05304072892853107
PON3,0.05283783879802306
RABGAP1,0.05271493595968302
SLC6A8,0.05129639426825716
HEXIM1,0.051262582884663344
RASSF4,0.051050567323646545
EMCN,0.05101389420605096
SLC35D1,0.05055647060123314
SERPINA1,0.05009581220222459
LGALS3,0.04956625414995153
EIF2AK3,0.049023025059791836
CD8A,0.04856719102835361
STAT2,0.048560437664201705
PLCB4,0.04834699332387471
TMEM243,0.04794309224074689
NCF1C///NCF1B///NCF1,0.04789590069423921
SNORA11E///SNORA11D///MAGED4///MAGED4B,0.047845235970600086
NPY,0.047804266233251624
IGLC1,0.04763224249254949
BACH2,0.047061258025579145
ARID3A,0.046959373104934476
DUSP7,0.046907852069868916
YWHAZ,0.04683622896271111
TMEM121,0.04650192664412889
LCK,0.04642911153029372
S100A8,0.04620817127083665
EHBP1L1,0.046163922956861336
PPP3CC,0.04612450011889635
FAM169A,0.046032016285002086
ZCWPW1,0.04596865613822709
PAX5,0.04571694335156562
F2RL1,0.04560036800536715
GNAQ,0.04524455638706004
SULT1B1,0.045014857687425414
TRPM2,0.04470689914261228
ALOX5,0.04456712299082333
GGH,0.04430546351518028
OPCML,0.04415650233290247
APOC1,0.04414899264862071
TAOK2,0.044121852491644686
LOC100996919///CD8B,0.04407714336156854
TIMP1,0.04403977460192521
IL13RA1,0.04305772582806244
RAB5C,0.042494558526612325
HBB,0.04217240991396087
HIST3H2A,0.041964434585181065
TRAC,0.041098444747806884
WT1,0.041079329062853054
